1133453	Maymana	35.92139	64.78361	PPLA	AF	07	75900
1133574	Mehtar Lam	34.67139	70.20944	PPLA	AF	35	17345
1133616	Mazar-e Sharif	36.70904	67.11087	PPLA	AF	30	523300
1134720	Lashkar Gah	31.59382	64.37161	PPLA	AF	10	43934
1135158	Kushk	33.29565	61.95221	PPL	AF	11	16952
1135689	Kunduz	36.72895	68.857	PPLA	AF	24	161902
1136469	Khost	33.33951	69.92041	PPLA	AF	37	96123
1136575	Khulm	36.69736	67.69826	PPLA2	AF	30	64933
1136863	Khash	31.52919	62.79055	PPL	AF	19	15133
1137079	Khan Neshin	30.5488	63.7888	PPLA2	AF	10	25600
1137168	Khanabad	36.68304	69.11279	PPLA2	AF	24	71531
1137807	Karukh	34.48108	62.5863	PPLA2	AF	11	17484
1138336	Kandahar	31.61332	65.71013	PPLA	AF	23	523300
1138958	Kabul	34.52813	69.17233	PPLC	AF	13	4434550
1139085	Jurm	36.86477	70.83421	PPLA2	AF	01	23064
1139715	Jalalabad	34.42647	70.45153	PPLA	AF	18	271900
1139807	Jabal os Saraj	35.11833	69.23778	PPLA2	AF	40	15032
1140026	Herat	34.34817	62.19967	PPLA	AF	11	574300
1141089	Ghormach	35.73062	63.78264	PPLA2	AF	02	30000
1141269	Ghazni	33.55391	68.42096	PPLA	AF	08	141000
1141540	Gereshk	31.82089	64.57005	PPLA2	AF	10	43588
1141857	Gardez	33.59744	69.22592	PPLA	AF	36	103601
1142170	Fayzabad	37.11664	70.58002	PPLA	AF	01	44421
1142264	Farah	32.37451	62.11638	PPLA	AF	06	43561
1142330	Istalif	34.83268	69.07756	PPLA2	AF	13	41413
1142404	Eslam Qaleh	34.66667	61.06667	PPL	AF	11	18086
1145352	Charikar	35.01361	69.17139	PPLA	AF	40	53676
1147066	Baraki Barak	33.96744	68.9492	PPLA2	AF	17	22305
1147242	Bamyan	34.82156	67.82734	PPLA	AF	05	61863
1147290	Balkh	36.75635	66.8972	PPLA2	AF	30	114883
1147489	Baharak	37.00254	70.90664	PPLA2	AF	01	32551
1147540	Baghlan	36.13068	68.70829	PPLA2	AF	03	108449
1148106	Art Khwajah	37.08571	69.47958	PPL	AF	26	18623
1148205	Asmar	35.03333	71.35809	PPLA2	AF	34	15708
1148311	Asadabad	34.87311	71.14697	PPLA	AF	34	48400
1148658	Andkhoy	36.95293	65.12376	PPLA2	AF	07	37900
1429434	Bazarak	35.31292	69.51519	PPLA	AF	42	65000
1469706	Markaz-e Woluswali-ye Achin	34.12583	70.70778	PPL	AF	18	15098
3576022	Saint John's	17.12096	-61.84329	PPLC	AG	04	51737
3573374	The Valley	18.21704	-63.05783	PPLC	AI	11205396	2035
363243	Sarande	39.87534	20.00477	PPLA2	AL	51	22613
781988	Pogradec	40.9025	20.6525	PPLA2	AL	46	46070
782519	Librazhd	41.17944	20.315	PPLA2	AL	43	23312
782661	Kukes	42.07694	20.42194	PPLA	AL	47	36125
782756	Korce	40.61861	20.78083	PPLA	AL	46	58259
783148	Gjirokaster	40.07583	20.13889	PPLA	AL	45	23437
783263	Elbasan	41.11138	20.08224	PPLA	AL	43	100903
783508	Bulqize	41.49167	20.22194	PPLA2	AL	41	26826
3183719	Vlore	40.4696	19.48379	PPLA	AL	51	115261
3183875	Tirana	41.32744	19.81866	PPLC	AL	50	418495
3184081	Shkoder	42.06828	19.51258	PPLA	AL	49	95553
3184271	Rrashbull	41.32278	19.51028	PPLA3	AL	42	20099
3184497	Peqin	41.04611	19.75111	PPLA2	AL	43	16580
3184517	Patos Fshat	40.64278	19.65083	PPL	AL	44	22679
3184518	Patos	40.68333	19.61944	PPLA3	AL	44	16000
3184862	Lushnje	40.94194	19.705	PPLA2	AL	44	63135
3184935	Lezhe	41.78361	19.64361	PPLA	AL	48	18695
3185060	Kucove	40.80028	19.91667	PPLA2	AL	40	31077
3185082	Kruje	41.50917	19.79278	PPLA2	AL	42	51191
3185211	Kavaje	41.18556	19.55694	PPLA2	AL	50	30012
3185638	Fushe-Kruje	41.47833	19.71778	PPLA3	AL	42	17877
3185670	Fier-Cifci	40.71667	19.56667	PPLX	AL	44	60995
3185672	Fier	40.7251	19.55823	PPLA	AL	44	56297
3185728	Durres	41.32355	19.45469	PPLA	AL	42	195920
3186084	Berat	40.70583	19.95222	PPLA	AL	40	62232
174875	Kapan	39.20762	46.40678	PPLA	AM	08	32900
174895	Goris	39.51111	46.34168	PPLA2	AM	08	17592
174979	Artashat	39.95484	44.54874	PPLA	AM	02	22800
174991	Ararat	39.85494	44.6947	PPLA2	AM	02	17598
616052	Yerevan	40.17765	44.5126	PPLC	AM	11	1144700
616062	Vagharshapat	40.16557	44.29462	PPLA2	AM	03	47989
616250	Sevan	40.548	44.95314	PPLA2	AM	04	19652
616435	Masis	40.06595	44.43669	PPL	AM	02	23136
616530	Vanadzor	40.8074	44.49704	PPLA	AM	06	78100
616599	Gavar	40.35398	45.12386	PPLA	AM	04	18900
616627	Ijevan	40.88037	45.14776	PPLA	AM	09	19500
616629	Hrazdan	40.5169	44.75591	PPLA	AM	05	49500
616631	Armavir	40.15553	44.0388	PPLA	AM	03	29700
616635	Gyumri	40.79305	43.84635	PPLA	AM	07	114667
616752	Dilijan	40.74037	44.86344	PPL	AM	09	15914
616758	Davtashen	40.21642	44.48088	PPLX	AM	11	52100
616785	Charentsavan	40.40289	44.64447	PPL	AM	05	22071
616864	Avan	40.21436	44.57846	PPLX	AM	11	58800
616877	Ashtarak	40.2976	44.36152	PPLA	AM	01	17600
616887	Artik	40.61918	43.97207	PPL	AM	07	18145
617026	Abovyan	40.2717	44.63342	PPLA2	AM	05	50556
866152	Erebuni	40.13309	44.53009	PPLX	AM	11	129700
866153	Nor Nork	40.19661	44.5669	PPLX	AM	11	137300
866164	Ajapnyak	40.19917	44.47056	PPLX	AM	11	122800
7647071	Kanaker-Zeytun	40.22	44.53833	PPLX	AM	11	75500
7670934	Malatia-Sebastia	40.17396	44.4457	PPLX	AM	11	150500
7670941	Kentron	40.17806	44.51303	PPLX	AM	11	133000
11111027	Shengavit	40.1557	44.4779	PPLX	AM	11	140600
13156582	Arabkir	40.20624	44.50365	PPLX	AM	11	119300
145531	Saurimo	-9.66078	20.39155	PPLA	AO	18	393000
145724	Lucapa	-8.41915	20.74466	PPL	AO	17	110000
